Start_Date,Historical_Price,GBM_Mean_Price_Sigma,GBM_Mean_Price_EMcorrection_Sigma,CIR_Mean_Price_Sigma,GBM_Mean_Price_VolIndex,GBM_Mean_Price_EMcorrection_VolIndex,CIR_Mean_Price_VolIndex,Heston_Mean_Price_Sigma,Heston_Mean_Price_VolIndex
2023-10-17,994.0999999999999,1052.8194000073115,1052.6503740294313,1025.047478722934,1052.87645091739,1052.7533866421643,1026.9671668403755,105.3435696012522,99.71124765649652
2023-10-18,991.5999999999999,1052.0553268698843,1051.8687579717837,1021.2867468421535,1051.614933500163,1051.4131987129908,1019.3384687416674,105.4302965768053,99.65930697539576
2023-10-19,987.4,1051.13795466633,1050.8975902481743,1016.0004572917474,1050.0551449415289,1049.6788333030315,1009.7285051157507,105.55952646071856,99.591499492525
2023-10-20,983.0,1050.989542803304,1050.6641830183407,1010.9054497984228,1050.9582793490526,1050.6260718468209,1010.613055663944,105.56395849427084,99.60171379446814
2023-10-23,983.4000000000001,1052.157479036677,1051.7662732952267,1011.3118250423046,1052.6454618318787,1052.3524860428388,1016.8671805157256,105.76361334421055,99.78770724657971
2023-10-24,987.6999999999999,1052.877736458658,1052.629192883259,1016.6664030657864,1053.6639601251966,1053.4174553272044,1023.9086598143416,106.12850593996046,99.96377348630688
2023-10-25,989.0,1052.2602831421823,1051.934047574227,1017.3996140323604,1052.350110391371,1052.1246011981557,1019.4468953780884,106.18344903644156,100.00484306926012
2023-10-26,986.1,1053.0848312799544,1052.8393514267282,1015.4581111508568,1053.425396717094,1053.2317476464273,1020.861578054752,106.2229838203166,100.01446157607258
2023-10-27,983.1,1053.0464766885027,1052.767082202801,1013.8919734727748,1053.2989221078165,1053.110813179767,1019.3721595135542,106.49847071604556,100.01543253943495
2023-10-30,985.1999999999999,1052.9989389384818,1052.7306532720388,1014.692291942653,1054.141489456022,1054.0018373040166,1026.8470354680053,106.86188479990004,100.04522364393875
2023-10-31,987.5,1053.551811587208,1053.2478709279817,1019.7520294238428,1054.2016419988058,1054.002505728343,1027.350199312847,106.79410323235996,100.12320523683915
2023-11-01,992.0,1055.085755829124,1054.9104423642718,1024.130023981198,1055.8099541195877,1055.7214241462564,1038.0121840067438,107.55825551320736,100.41174045283866
2023-11-02,997.8,1056.469990199101,1056.3482717915242,1029.592209304557,1057.018554708905,1056.9766441692332,1042.5609535617584,107.53705354567263,100.42689221006856
2023-11-03,999.7,1057.2254243866485,1057.072915856515,1028.369357389051,1057.967382666364,1057.9246693724035,1041.9170066775505,107.8848170967094,100.64774453698888
2023-11-06,998.9,1056.3466813037826,1056.1671075063805,1027.8758980266734,1057.5853939187148,1057.5498784779304,1046.5039147516975,108.04081730944058,100.54576647077296
2023-11-07,1000.1,1057.6462534852235,1057.408775153313,1029.716310705127,1058.5629630281578,1058.5419968475387,1049.4531024980324,108.56270473642718,100.78806027007732
2023-11-08,1003.0,1058.6096956427189,1058.4719602108762,1031.0808299022578,1059.5344874019645,1059.5276538725352,1051.2420425464802,108.52145651388248,100.93606990020857
2023-11-09,1003.5,1057.89316053251,1057.7896499366047,1033.8997057320512,1058.533672255941,1058.513855283237,1051.3900605902754,108.96047610098712,101.04463764341796
2023-11-10,999.9,1057.9916027695433,1057.8120527786905,1032.466707496089,1058.7231310068576,1058.7155642061466,1049.2573801578726,109.05925544708268,101.06213711922472
2023-11-13,1002.0,1058.3532499837254,1058.144560682096,1034.8399355597558,1059.000893577,1058.975445874844,1051.4056895461763,109.37659387546468,101.06886289128848
2023-11-14,1006.9,1059.9612089689126,1059.8344265532696,1037.1825243968592,1060.7218259135605,1060.7213027949883,1054.6347826942856,109.84684525952308,101.19292959126524
2023-11-15,1007.9000000000001,1059.500104838564,1059.3989012688862,1037.637312995833,1060.0865411527332,1060.0529157415183,1053.5750959438349,110.150343962714,101.45796944799092
2023-11-16,1007.0,1060.2122513467357,1060.0853808413217,1037.0907438851489,1060.8203823868237,1060.7865668820484,1053.249916807534,110.41486087281233,101.4874646280866
2023-11-17,1010.6999999999999,1060.4534963241188,1060.2964831988354,1038.63945656973,1061.0924413934083,1061.085067276269,1054.961426571371,110.51520851352642,101.47423106337938
2023-11-20,1010.3,1060.9785798144844,1060.8880513696715,1039.6671791047872,1061.6588623705495,1061.6385607530235,1055.3179182170113,110.97726423330413,101.7310886441472
2023-11-21,1011.1,1061.1905853397127,1061.1123480317756,1039.5301097959225,1061.842605394107,1061.8221058608672,1055.692669778137,111.31396857257316,101.54629438180382
2023-11-22,1011.8000000000001,1061.405489169122,1061.3119873200822,1042.4790099278182,1061.8708776462645,1061.8701952843303,1056.5164719897386,111.38367600816684,101.70464106090122
2023-11-23,1011.0,1061.5198190916606,1061.431980196015,1042.8392205319649,1062.070636453754,1062.0638026855677,1058.03811198012,112.16749389631056,102.0225702232652
2023-11-24,1011.1,1061.2464573202162,1061.1501249083665,1041.2991257226183,1061.7525797366377,1061.7454248939923,1057.0674233968257,112.17732536880123,101.88055923192948
2023-11-27,1011.1,1062.059994243241,1062.0018980841437,1041.887732910698,1062.7384646484018,1062.7307834821067,1056.2327641250004,112.58990118522938,101.90195189378588
2023-11-28,1009.0999999999999,1062.6331559654943,1062.5152163079742,1041.3778664429285,1063.2117244468666,1063.180209163378,1055.1237111865842,112.6984435277216,102.15682327698512
2023-11-29,1012.8,1063.3777299751189,1063.2613740402687,1043.13384900479,1063.9298962668809,1063.9157280988263,1056.5257498948658,113.4205861588943,102.25458665616732
2023-11-30,1012.6,1062.9222725672814,1062.840211107436,1044.6258960189152,1062.6673070039042,1062.5774790485254,1047.033327743087,113.54579804470922,102.51559869195292
2023-12-01,1012.6999999999999,1064.2489763436406,1064.1865930388358,1046.6133273097605,1064.3421322870663,1064.2752454370168,1052.7289792573156,114.0184555276919,102.78615932933376
2023-12-04,1013.3,1064.2171389965754,1064.1183528887589,1047.923323275607,1064.284930896149,1064.2152588398678,1052.995258353544,114.1174257951866,102.66082415299972
2023-12-05,1012.5,1065.2036895613212,1065.1814785661527,1051.6354086987196,1065.3073795867235,1065.2596234724406,1055.5710580712216,114.848572921274,102.8477642196256
