,Start_Date,sp500_delta,smi_delta,stoxx50_delta
75,2023-12-14,-0.00026510244121326083,0.00978915645118367,0.0057810762939378745
76,2023-12-15,0.004517406322955663,0.004889849314168754,-0.01605576023930853
77,2023-12-18,-0.00593140438642833,0.0017560491093770937,0.0036141653711710088
78,2023-12-19,-0.0038994808724175153,0.007845091721452539,0.01575857905087164
79,2023-12-20,0.003635746503147714,0.00947473518651605,0.006250421163620576
80,2023-12-21,0.01368590765527558,0.004602335023190744,-0.0018577229268019575
81,2023-12-22,-0.007262769242464301,0.006820824051178283,0.003693705816915057
82,2023-12-25,-0.0032863374784178685,0.01281956756435394,-0.0071033871941393895
83,2023-12-26,0.009197828219124397,0.009509880772034534,0.01584241735877835
84,2023-12-27,0.007783698191290939,0.006868699675542407,-0.0026264027344561347
85,2023-12-28,-0.0014766013097786588,0.01547495738092393,0.007109546149627153
