Date;ISIN;Indexvalue
22.11.1999;CH0023524637;18.9286
23.11.1999;CH0023524637;18.9499
24.11.1999;CH0023524637;18.9605
25.11.1999;CH0023524637;18.9219
26.11.1999;CH0023524637;18.6899
29.11.1999;CH0023524637;18.5582
30.11.1999;CH0023524637;18.5663
01.12.1999;CH0023524637;18.5122
02.12.1999;CH0023524637;18.4917
03.12.1999;CH0023524637;18.272
06.12.1999;CH0023524637;18.4396
07.12.1999;CH0023524637;18.4847
08.12.1999;CH0023524637;18.4843
09.12.1999;CH0023524637;18.4934
10.12.1999;CH0023524637;18.6372
13.12.1999;CH0023524637;18.5329
14.12.1999;CH0023524637;18.5973
15.12.1999;CH0023524637;18.7085
16.12.1999;CH0023524637;18.8988
17.12.1999;CH0023524637;18.8996
20.12.1999;CH0023524637;12.5717
21.12.1999;CH0023524637;12.6704
22.12.1999;CH0023524637;12.6476
23.12.1999;CH0023524637;13.7459
27.12.1999;CH0023524637;13.7785
28.12.1999;CH0023524637;13.8707
29.12.1999;CH0023524637;13.7733
30.12.1999;CH0023524637;13.5969
03.01.2000;CH0023524637;14.7125
04.01.2000;CH0023524637;15.1283
05.01.2000;CH0023524637;15.1365
06.01.2000;CH0023524637;15.1345
07.01.2000;CH0023524637;15.0126
10.01.2000;CH0023524637;14.9946
11.01.2000;CH0023524637;15.0274
12.01.2000;CH0023524637;15.0547
13.01.2000;CH0023524637;15.0373
14.01.2000;CH0023524637;14.8097
17.01.2000;CH0023524637;14.7587
18.01.2000;CH0023524637;14.4554
19.01.2000;CH0023524637;14.5986
20.01.2000;CH0023524637;14.5492
21.01.2000;CH0023524637;14.5053
24.01.2000;CH0023524637;14.3997
25.01.2000;CH0023524637;14.1433
26.01.2000;CH0023524637;15.3115
27.01.2000;CH0023524637;15.3583
28.01.2000;CH0023524637;15.6561
31.01.2000;CH0023524637;15.635
01.02.2000;CH0023524637;15.7127
02.02.2000;CH0023524637;15.6705
03.02.2000;CH0023524637;15.8047
04.02.2000;CH0023524637;15.7834
07.02.2000;CH0023524637;15.7914
08.02.2000;CH0023524637;15.7183
09.02.2000;CH0023524637;15.5611
10.02.2000;CH0023524637;15.5465
11.02.2000;CH0023524637;15.5608
14.02.2000;CH0023524637;15.5493
15.02.2000;CH0023524637;15.3846
16.02.2000;CH0023524637;16.6555
17.02.2000;CH0023524637;16.6732
18.02.2000;CH0023524637;16.4891
21.02.2000;CH0023524637;16.4895
22.02.2000;CH0023524637;16.4997
23.02.2000;CH0023524637;16.4838
24.02.2000;CH0023524637;16.4855
25.02.2000;CH0023524637;16.4569
28.02.2000;CH0023524637;16.473
29.02.2000;CH0023524637;16.5641
01.03.2000;CH0023524637;16.373
02.03.2000;CH0023524637;16.4138
03.03.2000;CH0023524637;16.2879
06.03.2000;CH0023524637;16.3058
07.03.2000;CH0023524637;16.3086
08.03.2000;CH0023524637;16.2992
09.03.2000;CH0023524637;16.2921
10.03.2000;CH0023524637;16.3153
13.03.2000;CH0023524637;16.5158
14.03.2000;CH0023524637;16.5779
15.03.2000;CH0023524637;16.6481
16.03.2000;CH0023524637;16.8112
17.03.2000;CH0023524637;16.8294
20.03.2000;CH0023524637;16.8827
21.03.2000;CH0023524637;16.5745
22.03.2000;CH0023524637;16.4719
23.03.2000;CH0023524637;16.4405
24.03.2000;CH0023524637;16.4274
27.03.2000;CH0023524637;16.5309
28.03.2000;CH0023524637;16.5136
29.03.2000;CH0023524637;16.2257
30.03.2000;CH0023524637;17.633
31.03.2000;CH0023524637;16.6297
03.04.2000;CH0023524637;16.3747
04.04.2000;CH0023524637;16.2565
05.04.2000;CH0023524637;16.8047
